fine_cell_id,parent_cell_id,parent_latitude,parent_longitude,parent_susceptibility,latitude,longitude,elevation,slope,aspect,curvature,land_cover,soil_clay_0_5cm,soil_sand_0_5cm,soil_silt_0_5cm,soil_bulk_density_0_5cm,fine_susceptibility,risk_delta,micro_risk_tier
FINE_C14203_081,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25035,88.71155,971.0,22.51,68.74,-6.4999,10,277,368,354,112,0.5593,-0.1785,High
FINE_C14203_082,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25035,88.71165,971.0,22.51,68.74,-6.4999,10,277,368,354,112,0.5593,-0.1785,High
FINE_C14203_083,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25035,88.71175,971.0,22.51,68.74,-6.4999,10,277,368,354,112,0.5593,-0.1785,High
FINE_C14203_084,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25035,88.71185,1008.0,49.73,73.41,3.5614,10,277,368,354,112,0.8164,0.0786,Extreme
FINE_C14203_085,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25035,88.71195,1008.0,49.73,73.41,3.5614,10,249,378,373,111,0.8299,0.0921,Extreme
FINE_C14203_086,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25035,88.71205,1008.0,49.73,73.41,3.5614,10,249,378,373,111,0.8299,0.0921,Extreme
FINE_C14203_087,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25035,88.71215,1050.0,47.65,62.92,11.0112,10,249,378,373,111,0.8302,0.0924,Extreme
FINE_C14203_088,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25035,88.71225,1050.0,47.65,62.92,11.0112,10,249,378,373,111,0.8302,0.0924,Extreme
FINE_C14203_089,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25035,88.71235,1050.0,47.65,62.92,11.0112,10,249,378,373,110,0.8486,0.1108,Extreme
FINE_C14203_090,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25035,88.71245,1055.0,35.84,53.02,0.0508,10,249,378,373,110,0.726,-0.0118,Very High
FINE_C14203_091,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25045,88.71155,978.0,28.31,56.61,-4.3059,10,277,368,354,112,0.6226,-0.1152,High
FINE_C14203_092,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25045,88.71165,978.0,28.31,56.61,-4.3059,10,277,368,354,112,0.6226,-0.1152,High
FINE_C14203_093,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25045,88.71175,978.0,28.31,56.61,-4.3059,10,277,368,354,112,0.6226,-0.1152,High
FINE_C14203_094,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25045,88.71185,998.0,49.21,81.13,-6.1792,10,277,368,354,111,0.8022,0.0644,Extreme
FINE_C14203_095,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25045,88.71195,998.0,49.21,81.13,-6.1792,10,249,378,373,111,0.7951,0.0573,Very High
FINE_C14203_096,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25045,88.71205,998.0,49.21,81.13,-6.1792,10,249,378,373,111,0.7951,0.0573,Very High
FINE_C14203_097,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25045,88.71215,1040.0,44.07,88.8,0.954,10,249,378,373,111,0.7756,0.0378,Very High
FINE_C14203_098,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25045,88.71225,1040.0,44.07,88.8,0.954,10,249,378,373,111,0.7756,0.0378,Very High
FINE_C14203_099,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25045,88.71235,1040.0,44.07,88.8,0.954,10,249,378,373,110,0.7984,0.0606,Very High
FINE_C14203_100,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25045,88.71245,1062.0,27.62,86.89,2.8523,10,249,378,373,110,0.6724,-0.0654,High
FINE_C14204_001,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24955,88.71255,1050.0,24.01,91.04,2.6936,10,249,378,373,110,0.6452,-0.0973,High
FINE_C14204_002,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24955,88.71265,1051.0,12.31,92.13,0.1313,10,249,378,373,110,0.5171,-0.2254,High
FINE_C14204_003,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24955,88.71275,1051.0,12.31,92.13,0.1313,10,249,378,373,110,0.5171,-0.2254,High
FINE_C14204_004,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24955,88.71285,1051.0,12.31,92.13,0.1313,10,249,378,373,110,0.5171,-0.2254,High
FINE_C14204_005,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24955,88.71295,1055.0,31.15,90.39,-4.7546,10,249,378,373,110,0.6669,-0.0756,High
FINE_C14204_006,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24955,88.71305,1055.0,31.15,90.39,-4.7546,10,249,378,373,110,0.6669,-0.0756,High
FINE_C14204_007,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24955,88.71315,1055.0,31.15,90.39,-4.7546,10,249,378,373,110,0.6669,-0.0756,High
FINE_C14204_008,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24955,88.71325,1083.0,38.85,86.82,1.4535,10,249,378,373,109,0.7733,0.0308,Very High
FINE_C14204_009,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24955,88.71335,1083.0,38.85,86.82,1.4535,10,249,378,373,109,0.7733,0.0308,Very High
FINE_C14204_010,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24955,88.71345,1083.0,38.85,86.82,1.4535,10,249,378,373,109,0.7733,0.0308,Very High
FINE_C14204_011,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24965,88.71255,1044.0,34.81,110.87,4.2808,10,249,378,373,110,0.7486,0.0061,Very High
FINE_C14204_012,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24965,88.71265,1048.0,20.27,79.87,-2.588,10,249,378,373,110,0.5793,-0.1632,High
FINE_C14204_013,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24965,88.71275,1048.0,20.27,79.87,-2.588,10,249,378,373,110,0.5793,-0.1632,High
FINE_C14204_014,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24965,88.71285,1048.0,20.27,79.87,-2.588,10,249,378,373,110,0.5793,-0.1632,High
FINE_C14204_015,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24965,88.71295,1062.0,38.8,67.11,-1.5849,10,249,378,373,110,0.7402,-0.0023,Very High
FINE_C14204_016,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24965,88.71305,1062.0,38.8,67.11,-1.5849,10,249,378,373,110,0.7402,-0.0023,Very High
FINE_C14204_017,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24965,88.71315,1062.0,38.8,67.11,-1.5849,10,249,378,373,110,0.7402,-0.0023,Very High
FINE_C14204_018,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24965,88.71325,1084.0,44.43,62.89,-3.8007,10,249,378,373,109,0.7871,0.0446,Very High
FINE_C14204_019,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24965,88.71335,1084.0,44.43,62.89,-3.8007,10,249,378,373,109,0.7871,0.0446,Very High
FINE_C14204_020,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24965,88.71345,1084.0,44.43,62.89,-3.8007,10,249,378,373,109,0.7871,0.0446,Very High
FINE_C14204_021,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24975,88.71255,1044.0,34.81,110.87,4.2808,10,249,378,373,110,0.7486,0.0061,Very High
FINE_C14204_022,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24975,88.71265,1048.0,20.27,79.87,-2.588,10,249,378,373,110,0.5793,-0.1632,High
FINE_C14204_023,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24975,88.71275,1048.0,20.27,79.87,-2.588,10,249,378,373,110,0.5793,-0.1632,High
FINE_C14204_024,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24975,88.71285,1048.0,20.27,79.87,-2.588,10,249,378,373,110,0.5793,-0.1632,High
FINE_C14204_025,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24975,88.71295,1062.0,38.8,67.11,-1.5849,10,249,378,373,110,0.7402,-0.0023,Very High
FINE_C14204_026,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24975,88.71305,1062.0,38.8,67.11,-1.5849,10,249,378,373,110,0.7402,-0.0023,Very High
FINE_C14204_027,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24975,88.71315,1062.0,38.8,67.11,-1.5849,10,249,378,373,110,0.7402,-0.0023,Very High
FINE_C14204_028,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24975,88.71325,1084.0,44.43,62.89,-3.8007,10,249,378,373,109,0.7871,0.0446,Very High
FINE_C14204_029,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24975,88.71335,1084.0,44.43,62.89,-3.8007,10,249,378,373,109,0.7871,0.0446,Very High
FINE_C14204_030,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24975,88.71345,1084.0,44.43,62.89,-3.8007,10,249,378,373,109,0.7871,0.0446,Very High
FINE_C14204_031,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24985,88.71255,1044.0,34.81,110.87,4.2808,10,249,378,373,110,0.7486,0.0061,Very High
FINE_C14204_032,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24985,88.71265,1048.0,20.27,79.87,-2.588,10,249,378,373,110,0.5793,-0.1632,High
FINE_C14204_033,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24985,88.71275,1048.0,20.27,79.87,-2.588,10,249,378,373,110,0.5793,-0.1632,High
FINE_C14204_034,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24985,88.71285,1048.0,20.27,79.87,-2.588,10,249,378,373,110,0.5793,-0.1632,High
FINE_C14204_035,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24985,88.71295,1062.0,38.8,67.11,-1.5849,10,249,378,373,110,0.7402,-0.0023,Very High
FINE_C14204_036,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24985,88.71305,1062.0,38.8,67.11,-1.5849,10,249,378,373,110,0.7402,-0.0023,Very High
FINE_C14204_037,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24985,88.71315,1062.0,38.8,67.11,-1.5849,10,249,378,373,110,0.7402,-0.0023,Very High
FINE_C14204_038,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24985,88.71325,1084.0,44.43,62.89,-3.8007,10,249,378,373,109,0.7871,0.0446,Very High
FINE_C14204_039,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24985,88.71335,1084.0,44.43,62.89,-3.8007,10,249,378,373,109,0.7871,0.0446,Very High
FINE_C14204_040,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24985,88.71345,1084.0,44.43,62.89,-3.8007,10,249,378,373,109,0.7871,0.0446,Very High
FINE_C14204_041,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24995,88.71255,1035.0,39.9,65.92,-1.6075,10,249,378,373,110,0.7586,0.0161,Very High
FINE_C14204_042,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24995,88.71265,1057.0,31.25,62.07,0.2385,10,249,378,373,110,0.6893,-0.0532,High
FINE_C14204_043,COARSE_C14204,27.250000000000085,88.71300000000063,0.7425,27.24995,88.71275,1057.0,31.25,62.07,0.2385,10,249,378,373,110,0.6893,-0.0532,High
